                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.74316,                 1.0129,                  1.207,                0.55952,                0.67072,                0.62785,                0.43403,                 1.2075,                 1.2012,                 1.8806,               0.004192,               0.004192,               0.004192
                     91,                 0.7347,                 1.0064,                 1.2042,                0.55476,                 0.7078,                0.64714,                0.44857,                 1.2422,                 1.1731,                 1.9185,               0.004126,               0.004126,               0.004126
                     92,                0.73133,                0.99501,                 1.2042,                0.56683,                0.67594,                0.64077,                0.45367,                 1.1993,                 1.3765,                 1.8519,                0.00406,                0.00406,                0.00406
                     93,                0.72902,                0.98415,                 1.2065,                0.56779,                0.67475,                 0.6645,                0.46196,                 1.2211,                 1.1557,                 1.8318,               0.003994,               0.003994,               0.003994
                     94,                0.72984,                0.99483,                 1.2047,                0.58384,                0.67624,                 0.6612,                0.46725,                   1.19,                 1.0626,                 1.7837,               0.003928,               0.003928,               0.003928
                     95,                0.72734,                0.98378,                 1.1969,                 0.5824,                0.66872,                 0.6713,                0.46842,                 1.2039,                 1.0559,                 1.8067,               0.003862,               0.003862,               0.003862
                     96,                0.72431,                0.98649,                 1.2013,                0.59226,                0.65973,                0.66508,                0.46455,                 1.1972,                 1.1987,                 1.8263,               0.003796,               0.003796,               0.003796
                     97,                0.71871,                 0.9752,                 1.1906,                0.55111,                0.67986,                0.65233,                0.46305,                 1.2427,                 1.2097,                 1.9459,                0.00373,                0.00373,                0.00373
                     98,                0.72628,                0.98495,                 1.1976,                0.53128,                0.69311,                0.65623,                0.44699,                 1.2276,                 1.1878,                 1.8453,               0.003664,               0.003664,               0.003664
                     99,                0.72942,                  0.981,                 1.1941,                0.58781,                0.63827,                 0.6581,                0.46466,                 1.1975,                 1.1353,                 1.8058,               0.003598,               0.003598,               0.003598
                    100,                0.71538,                0.95657,                 1.1858,                0.61568,                0.63567,                  0.649,                0.45789,                 1.2282,                 1.1519,                 1.9142,               0.003532,               0.003532,               0.003532
                    101,                0.72627,                0.96798,                 1.1955,                0.59176,                0.67673,                 0.6727,                0.47763,                 1.1386,                  1.101,                 1.7145,               0.003466,               0.003466,               0.003466
                    102,                 0.7219,                0.96302,                 1.1893,                0.59836,                0.69164,                 0.6863,                0.48285,                 1.1755,                 1.0296,                 1.7969,                 0.0034,                 0.0034,                 0.0034
                    103,                 0.7146,                0.95048,                 1.1861,                0.56597,                0.68572,                0.67209,                0.46544,                 1.2307,                 1.0793,                 1.8613,               0.003334,               0.003334,               0.003334
                    104,                0.71641,                0.95911,                 1.1871,                0.59626,                0.63999,                0.65495,                0.46426,                 1.1776,                 1.1235,                 1.8013,               0.003268,               0.003268,               0.003268
                    105,                0.71438,                0.95094,                 1.1847,                0.64426,                0.65513,                0.68635,                0.48194,                 1.1899,                 1.0627,                 1.8356,               0.003202,               0.003202,               0.003202
                    106,                0.71173,                0.94558,                 1.1847,                0.58355,                0.68263,                 0.6697,                0.47299,                  1.228,                 1.1161,                 1.9179,               0.003136,               0.003136,               0.003136
                    107,                 0.7175,                0.94949,                 1.1859,                 0.5791,                0.71511,                0.68099,                0.47267,                 1.1936,                 1.0684,                 1.7986,                0.00307,                0.00307,                0.00307
                    108,                0.70336,                0.94419,                 1.1789,                0.57543,                0.70062,                0.65289,                0.46718,                 1.1869,                 1.3784,                  1.839,               0.003004,               0.003004,               0.003004
                    109,                0.70324,                0.93829,                 1.1789,                0.60811,                0.69448,                0.68447,                0.47914,                 1.2172,                 1.1058,                 1.8811,               0.002938,               0.002938,               0.002938
                    110,                0.69881,                 0.9385,                 1.1793,                 0.6067,                0.71688,                0.69143,                0.48864,                 1.1874,                 1.1235,                 1.8394,               0.002872,               0.002872,               0.002872
                    111,                0.70978,                0.94148,                 1.1804,                0.57334,                0.72941,                  0.695,                0.49738,                 1.1618,                 1.0417,                 1.8068,               0.002806,               0.002806,               0.002806
                    112,                0.70841,                0.92888,                 1.1843,                0.58211,                0.71802,                0.69263,                0.49219,                 1.1941,                 1.0952,                 1.8663,                0.00274,                0.00274,                0.00274
                    113,                0.70009,                0.92288,                 1.1749,                0.64138,                0.68116,                0.69971,                0.49226,                 1.2345,                 1.0467,                  1.943,               0.002674,               0.002674,               0.002674
                    114,                0.69735,                0.91538,                 1.1751,                0.59578,                0.71641,                 0.6902,                0.48471,                 1.2224,                 1.0762,                 1.9519,               0.002608,               0.002608,               0.002608
                    115,                0.69794,                0.92102,                 1.1772,                0.62717,                0.69047,                0.70228,                0.48815,                 1.2149,                 1.0441,                 1.9004,               0.002542,               0.002542,               0.002542
                    116,                0.70045,                0.92553,                 1.1752,                0.60386,                0.71017,                0.68559,                  0.486,                 1.1798,                 1.0264,                 1.9181,               0.002476,               0.002476,               0.002476
                    117,                0.68797,                0.91601,                 1.1665,                0.55683,                0.75172,                0.68222,                0.47733,                 1.2247,                 1.1279,                 1.9505,                0.00241,                0.00241,                0.00241
                    118,                0.69117,                0.90824,                 1.1659,                0.62217,                0.67327,                0.69049,                0.49581,                 1.1989,                 1.1047,                 1.8451,               0.002344,               0.002344,               0.002344
                    119,                0.69011,                0.91148,                 1.1702,                0.64716,                0.68113,                0.70599,                0.50182,                 1.1812,                 1.1397,                 1.8531,               0.002278,               0.002278,               0.002278
                    120,                0.68634,                0.89709,                 1.1628,                0.57884,                0.75952,                0.69317,                0.49493,                 1.1996,                 1.1834,                 1.8314,               0.002212,               0.002212,               0.002212
                    121,                0.68003,                0.89877,                 1.1617,                0.60499,                0.68678,                0.68742,                0.48981,                 1.1852,                 1.1488,                 1.8403,               0.002146,               0.002146,               0.002146
                    122,                0.69517,                 0.9079,                 1.1695,                0.61356,                0.71386,                0.70287,                0.49478,                 1.2022,                 1.0846,                 1.9096,                0.00208,                0.00208,                0.00208
                    123,                0.69091,                0.89418,                 1.1615,                0.58825,                 0.7075,                0.66862,                 0.4781,                 1.2125,                 1.1771,                 1.9134,               0.002014,               0.002014,               0.002014
                    124,                0.68352,                0.88867,                 1.1558,                0.64992,                0.64249,                0.69812,                0.49823,                 1.1662,                 1.1554,                  1.856,               0.001948,               0.001948,               0.001948
                    125,                0.68455,                0.88571,                 1.1589,                 0.6709,                0.64834,                0.70452,                0.50222,                 1.1816,                 1.0568,                 1.8052,               0.001882,               0.001882,               0.001882
                    126,                0.68409,                0.88368,                 1.1583,                0.62814,                0.70133,                 0.7129,                0.50305,                 1.1933,                 1.0507,                 1.8459,               0.001816,               0.001816,               0.001816
                    127,                0.67953,                0.88514,                 1.1559,                0.62113,                0.71357,                0.70737,                0.49592,                 1.2181,                  1.077,                 1.8443,                0.00175,                0.00175,                0.00175
                    128,                0.67184,                0.87664,                 1.1507,                0.62663,                0.69397,                0.70605,                0.49854,                 1.2178,                  1.044,                 1.8734,               0.001684,               0.001684,               0.001684
                    129,                0.68263,                0.88832,                  1.158,                0.66924,                 0.6757,                 0.7148,                0.50489,                 1.2205,                 1.1015,                 1.9129,               0.001618,               0.001618,               0.001618
